subject,stage,cca_corr1,cca_corr2,Xc1_mean,Xc1_std,Xc1_25p,Xc1_median,Xc1_75p,Xc2_mean,Xc2_std,Xc2_25p,Xc2_median,Xc2_75p,Yc1_mean,Yc1_std,Yc1_25p,Yc1_median,Yc1_75p,Yc2_mean,Yc2_std,Yc2_25p,Yc2_median,Yc2_75p
apples-140003.edf,N2,0.6899893127788487,0.6154624691997445,-6.6729230836600715e-18,1.009111238836496,-0.5257218076648601,-0.002899424456786249,0.5226368324179708,-6.981854707903593e-18,0.9796439213546978,-0.48409736231009703,-0.012694323926852531,0.4658050008375241,-2.430262110715705e-18,0.993196843333286,-0.5115329871941763,0.0007875360858735588,0.5118901416904533,-6.75530485012501e-18,1.0067519078540779,-0.5211227649610105,-0.008960798642686396,0.5060701498297219
apples-140003.edf,N3,0.8406495386014062,0.7112445449997676,1.3816108750890836e-18,0.9513219418252449,-0.5393530013040733,-0.020541961812433757,0.5089738031511363,1.8158314358313672e-17,0.9675175984792779,-0.5545792962102932,-0.04032749128809417,0.5281114357930292,2.7632217501781672e-18,0.9287091645757589,-0.5178946336319403,-0.009102742927509514,0.5154711288404676,-1.3026616822268503e-17,1.0664839069011613,-0.6647137166259245,-0.04295000016995707,0.6452965388238849
apples-140003.edf,R,0.6521187025167314,0.3484445626576575,-1.0867124193978003e-17,1.0128333982995248,-0.5375012922800633,-0.007772267896260978,0.5322628803237177,-1.5548346923691604e-17,1.0268701524368582,-0.44382753524844387,0.007002055947012082,0.4599803270693833,5.4614265179992015e-18,0.9140384178662398,-0.2787848567304697,-0.005717768775565354,0.27289237930855553,4.639426098198301e-18,0.4810253210897994,-0.2483618798996716,0.0011161377303370796,0.25234977999675773
apples-140008.edf,W,0.48934987580251316,0.3567640101954872,4.640279090678205e-18,1.1308566447899264,-0.27450852942905574,0.006686705295257757,0.28937769341287906,-5.993693825459348e-18,0.8450998469543994,-0.17081401103070382,-0.0018172753351490835,0.16903725637330874,-1.1359016524056024e-18,0.9389588384735944,-0.21672003828335373,0.01131066432644667,0.24132555076482778,-8.217160889742656e-18,1.0527629385047739,-0.2965652339831276,-0.017342232862172804,0.2733398976580385
apples-140008.edf,N1,0.4652931256558696,0.3125357843035243,-3.625814783302569e-18,1.014327148308763,-0.31161432200472433,0.0022172796177530978,0.3177025848635836,5.26327952414889e-18,0.9795817881257183,-0.35140890117548473,0.0012792993315283987,0.35237329485095653,8.421247238638224e-18,0.9921742788291686,-0.2940055329875331,-0.005615852851599273,0.29463916619211034,2.5146779948711366e-18,1.007279347863519,-0.422611971807865,0.0012782020852919998,0.4251185452042153
apples-140008.edf,N2,0.5811350493609667,0.5205017522016406,2.8189221009705406e-18,0.6434681065694257,-0.2501680715006437,-0.0069921448169793475,0.23664238633552667,-2.1476117862033293e-17,1.0625787810629324,-0.5008696106967869,-0.010383143033847004,0.4871081062891663,5.201928413131204e-18,0.8215670710905009,-0.3020942863451589,-0.015612230958257233,0.27905475501073346,-1.2641557875486445e-18,1.1470015680210692,-0.46588763442952497,-0.01038415536234775,0.44568942583336907
apples-140008.edf,N3,0.8324155300972946,0.46258161485468774,1.8947806286936004e-17,1.0148654156920036,-0.7113419342137598,-0.07621130838075721,0.6261995640727258,-3.434289889507151e-17,0.3328540674213871,-0.22132086129760162,-0.011887240470191709,0.20534358352304394,-1.5395092608135503e-17,0.7421248180842044,-0.5677922536281641,-0.05701780671318903,0.39125813893850336,-4.736951571734001e-18,0.811246414092765,-0.5146740337601581,0.005980991092658122,0.5349326591489287
apples-140008.edf,R,0.3975329055514153,0.21103927599299915,8.519933729716015e-18,0.955114718473145,-0.44884833664286106,-0.007313107324381176,0.4358476333926146,6.9212125742557904e-18,0.5486365675968428,-0.2242885387253059,-0.003667402504054197,0.216946878675585,-1.000023109588289e-18,0.5605765774771112,-0.19777797930859844,0.0006440954058959984,0.19124640895463468,-8.658094817224924e-18,0.9969808798361192,-0.3600677517626919,-0.011921911371387463,0.3478687664783172
apples-160219.edf,W,0.4602416428554866,0.32496599232571893,-5.314042118544235e-18,1.0501218070228147,-0.4440132442852612,-0.014582645877773573,0.4296040969215121,-3.799179433167372e-18,0.9420290645309228,-0.3751581392992822,0.008352800095470334,0.38910936626922243,-5.001451405688692e-18,1.1889384256873992,-0.41069659042652584,-0.008011040289221599,0.3636858734353461,-2.7892709762494625e-18,0.6611372267416941,-0.20970157953204066,0.00817480142916029,0.23722594463619212
apples-160219.edf,N1,0.6034275974349222,0.556958347857565,-5.9444098155093345e-18,1.1908756135658,-0.7117467269211943,-0.034122890544949436,0.6693213858522811,3.715256134693334e-19,0.8257286042053934,-0.49074595577536945,0.0013065096672294346,0.4841368337304181,-3.715256134693335e-18,1.1791484569771096,-0.6293065932107836,0.00010763189441627784,0.6403221434640716,-1.7833229446528005e-17,0.7530640572821331,-0.4312453507806476,0.002470482794713634,0.43528971155787355
