subject,component,adf_pval,adf_stationary,kpss_pval,kpss_stationary
apples-240021_N2,cca_corr1,8.625825019008136e-06,True,0.1,True
apples-240021_N2,cca_corr2,4.637162273792851e-06,True,0.05834527754359292,True
apples-160217_N1,cca_corr1,0.011807050240059567,True,0.08282886136233819,True
apples-160217_N1,cca_corr2,0.006144502488640159,True,0.1,True
apples-140073_N3,cca_corr1,5.51936823504315e-10,True,0.1,True
apples-140073_N3,cca_corr2,3.264272349265673e-18,True,0.026015869577506984,False
apples-160290_W,cca_corr1,0.8740806033276227,False,0.01,False
apples-160290_W,cca_corr2,0.05040736917252993,False,0.04104352941998176,False
apples-140009_N1,cca_corr1,0.3488764422920273,False,0.01,False
apples-140009_N1,cca_corr2,0.003858158732892405,True,0.01,False
apples-140075_R,cca_corr1,1.9728415538983156e-12,True,0.1,True
apples-140075_R,cca_corr2,0.00047737178708036067,True,0.03565570954000527,False
apples-140011_N3,cca_corr1,0.04640161749988046,True,0.07788129136620645,True
apples-140011_N3,cca_corr2,1.0,False,0.1,True
apples-140007_W,cca_corr1,1.733044812041363e-08,True,0.1,True
apples-140007_W,cca_corr2,0.04662892627267511,True,0.1,True
apples-140003_W,cca_corr1,3.934956161472169e-05,True,0.1,True
apples-140003_W,cca_corr2,0.0008239379790811597,True,0.1,True
apples-140008_N1,cca_corr1,2.5779366360360937e-07,True,0.012147089793640533,False
apples-140008_N1,cca_corr2,3.446694471781215e-13,True,0.02453322261247554,False
apples-140073_R,cca_corr1,8.268367124145716e-19,True,0.01,False
apples-140073_R,cca_corr2,0.03524303499537054,True,0.01,False
apples-140009_N2,cca_corr1,0.0008320267214584057,True,0.01,False
apples-140009_N2,cca_corr2,0.000150863594748985,True,0.01,False
apples-150140_R,cca_corr1,0.43578445454099746,False,0.01,False
apples-150140_R,cca_corr2,0.4157095683668702,False,0.01,False
apples-240022_N2,cca_corr1,0.023840507548145835,True,0.017596124396138255,False
apples-240022_N2,cca_corr2,0.0009758497845830332,True,0.01,False
apples-140007_N3,cca_corr1,2.986790351884328e-16,True,0.1,True
apples-140007_N3,cca_corr2,1.3271237402658273e-13,True,0.049827929842827204,False
apples-140012_N2,cca_corr1,7.816674953994523e-05,True,0.04098999229130215,False
apples-140012_N2,cca_corr2,0.0571818946145037,False,0.1,True
apples-160215_N2,cca_corr1,0.13212421529857798,False,0.06425144100587986,True
apples-160215_N2,cca_corr2,0.00014938904630301642,True,0.1,True
apples-240091_N1,cca_corr1,1.4839229355951572e-09,True,0.1,True
apples-240091_N1,cca_corr2,4.0873574445302787e-14,True,0.1,True
apples-130001_W,cca_corr1,3.6391825776520337e-10,True,0.03447147981117122,False
apples-130001_W,cca_corr2,0.0032936252605325436,True,0.1,True
apples-160219_W,cca_corr1,4.3566687249507746e-05,True,0.01,False
apples-160219_W,cca_corr2,1.5469146748271137e-09,True,0.016758107350102736,False
apples-140075_W,cca_corr1,0.07719522861030403,False,0.044575183593536,False
apples-140075_W,cca_corr2,2.655551187327223e-08,True,0.01,False
apples-240089_N3,cca_corr1,1.292991969875473e-25,True,0.0643439945470326,True
apples-240089_N3,cca_corr2,2.419023283334807e-07,True,0.1,True
apples-160287_N2,cca_corr1,6.629190852960217e-10,True,0.1,True
apples-160287_N2,cca_corr2,4.8645858192066205e-09,True,0.1,True
apples-140074_R,cca_corr1,0.00176838061824597,True,0.01,False
apples-140074_R,cca_corr2,6.31587568533821e-22,True,0.1,True
apples-140009_N3,cca_corr1,6.192812948908133e-05,True,0.04706753025924129,False
apples-140009_N3,cca_corr2,1.2849532303349995e-05,True,0.0937001363451091,True
