stage,time_bin,cca_corr1,cca_corr2
R,"(27600.0, 28200.0]",0.734592573745537,0.48471344086413987
R,"(28200.0, 28800.0]",0.7583727509364975,0.4290259402444687
R,"(28800.0, 29400.0]",0.7157458496055932,0.416170657717007
R,"(29400.0, 30000.0]",0.7254971432875026,0.4499859553584941
R,"(30000.0, 30600.0]",0.642550987535357,0.4055780176789447
R,"(30600.0, 31200.0]",0.6786657294625678,0.47832375728163856
R,"(31200.0, 31800.0]",,
R,"(31800.0, 32400.0]",,
R,"(32400.0, 33000.0]",,
R,"(33000.0, 33600.0]",,
R,"(33600.0, 34200.0]",,
R,"(34200.0, 34800.0]",,
R,"(34800.0, 35400.0]",,
W,"(0.0, 600.0]",0.6655272199093065,0.3844132807079741
W,"(600.0, 1200.0]",0.627427396436101,0.38580715770361307
W,"(1200.0, 1800.0]",0.593552212480151,0.3689130884244914
W,"(1800.0, 2400.0]",0.577009608487156,0.3540990792536719
W,"(2400.0, 3000.0]",0.5836965422183091,0.3521451915843907
W,"(3000.0, 3600.0]",0.5624478594957683,0.3465039620301214
W,"(3600.0, 4200.0]",0.5236650904660034,0.32816037782932256
W,"(4200.0, 4800.0]",0.4930998104049971,0.3016812881880393
W,"(4800.0, 5400.0]",0.6231584170987584,0.4031119243098982
W,"(5400.0, 6000.0]",0.6173633623976073,0.3780976507046701
W,"(6000.0, 6600.0]",0.646341455614786,0.3829259905331808
W,"(6600.0, 7200.0]",0.5696256811354377,0.34599494320441787
W,"(7200.0, 7800.0]",0.6757982808513007,0.40027026519343967
W,"(7800.0, 8400.0]",0.6559677576371223,0.42059853527793306
W,"(8400.0, 9000.0]",0.6326084379890071,0.43678344777542644
W,"(9000.0, 9600.0]",0.6200432881569033,0.3933455308381838
W,"(9600.0, 10200.0]",0.5661743345456397,0.3872139676941371
W,"(10200.0, 10800.0]",0.6433075938756063,0.39945583343355506
W,"(10800.0, 11400.0]",0.610823147235043,0.4045566253948693
W,"(11400.0, 12000.0]",0.680138523444445,0.46870638310219787
W,"(12000.0, 12600.0]",0.6428318400647399,0.4274055205136869
W,"(12600.0, 13200.0]",0.6142670568247722,0.3757502079167455
W,"(13200.0, 13800.0]",0.6691346645737831,0.44035064558648357
W,"(13800.0, 14400.0]",0.5883558584225734,0.35694339085293064
W,"(14400.0, 15000.0]",0.6120765368034723,0.3828826797459122
W,"(15000.0, 15600.0]",0.5509108055437688,0.3412772313444283
W,"(15600.0, 16200.0]",0.7037235686905116,0.41761073889199507
W,"(16200.0, 16800.0]",0.698173058100121,0.4495197677438807
W,"(16800.0, 17400.0]",0.7156614609184797,0.4418018615000675
W,"(17400.0, 18000.0]",0.7363614997994496,0.45685120870448515
W,"(18000.0, 18600.0]",0.6990082776641782,0.4375867913497075
W,"(18600.0, 19200.0]",0.6603544070137763,0.3911729904488382
W,"(19200.0, 19800.0]",0.7087060406109456,0.4426358246021835
W,"(19800.0, 20400.0]",0.6764216709740569,0.4585936590087018
W,"(20400.0, 21000.0]",0.6543850347051606,0.4600748432536644
W,"(21000.0, 21600.0]",0.6084768871966142,0.37649920277622934
W,"(21600.0, 22200.0]",0.6476708077141353,0.35521130837176706
W,"(22200.0, 22800.0]",0.6430461943234429,0.4208781499821209
W,"(22800.0, 23400.0]",0.6524260924885461,0.44578781391616085
W,"(23400.0, 24000.0]",0.6742095977827322,0.4705761255050194
W,"(24000.0, 24600.0]",0.6373434304613459,0.4587529939520291
W,"(24600.0, 25200.0]",0.647431421158775,0.41533261400603394
W,"(25200.0, 25800.0]",0.6055374386532755,0.38368190027232146
W,"(25800.0, 26400.0]",0.6668622556063554,0.4725660365015158
W,"(26400.0, 27000.0]",0.676576247030193,0.43943212846243984
W,"(27000.0, 27600.0]",0.6540388823337866,0.4058330075205804
W,"(27600.0, 28200.0]",0.6588425280344478,0.41861756994785265
W,"(28200.0, 28800.0]",0.6578006196929478,0.4329244511528438
W,"(28800.0, 29400.0]",0.5429999337088286,0.3149963399662441
W,"(29400.0, 30000.0]",0.6624950365397793,0.38842028927412514
W,"(30000.0, 30600.0]",0.6245613321590819,0.36178310168656835
W,"(30600.0, 31200.0]",0.40275831643624166,0.23332223577020206
W,"(31200.0, 31800.0]",0.421710103581305,0.2230571761112389
W,"(31800.0, 32400.0]",,
W,"(32400.0, 33000.0]",0.47400749760680566,0.2492193659144899
W,"(33000.0, 33600.0]",0.3231454593811866,0.15751214745051528
W,"(33600.0, 34200.0]",0.4878485894860762,0.28513285387413706
W,"(34200.0, 34800.0]",0.1632225799573287,0.054263425760136576
W,"(34800.0, 35400.0]",0.11736750562284803,0.050637633759977214
