subject,stage,cca_corr1_compute_entropy,cca_corr1_mean,cca_corr1_std,cca_corr1_skew,cca_corr1_kurtosis,cca_corr2_compute_entropy,cca_corr2_mean,cca_corr2_std,cca_corr2_skew,cca_corr2_kurtosis
apples-140012,N1,2.170122441567485,0.7095500776206294,0.14393161957174802,-0.7349133139815865,-0.23587365570402996,2.453362958064465,0.46976743920329805,0.17550169705109542,-0.5711673387124139,-0.7865435302378327
apples-140012,N2,1.9091493573237346,0.8393620807260463,0.10521976382560795,-1.248750883272322,1.2868777275898404,2.4019495759011984,0.5673184877318931,0.16211456645861874,-1.0140559447043596,0.2113881050281301
apples-140012,N3,0.5339616128159654,0.9359045761992452,0.015118452809948568,-1.8083510767588027,4.67648923954818,1.3625462283078307,0.7261355053194872,0.049259420518219334,-0.41650211445573476,-0.4824844250526117
apples-140012,R,1.7792676336633995,0.8534741168944455,0.1018935048282452,-1.970069852614338,4.631290299793573,2.122970788649386,0.5927984620940268,0.12698210781971928,-1.4098185772827843,1.619210967172073
apples-140012,W,2.441653101814513,0.6441161506724656,0.15170854862669053,-0.10612480912089955,-1.0404694969583064,2.527233246093999,0.4412381067934459,0.1994351032023957,-0.01624107574414779,-1.4382401111502934
apples-140073,N1,1.8823321352573876,0.780345050001454,0.09910821515833222,-0.8769617902681827,0.04202901047529606,1.9460259689044301,0.5260823700103139,0.10129025942245341,-0.2461225596418859,0.2608137909484811
apples-140073,N2,1.2123220875872862,0.8868542521989092,0.05426968103971387,-2.7532378486307167,11.65034381593617,1.835187131645767,0.6383186220414292,0.07867282972859041,-0.7846231149013021,1.3970638305860703
apples-140073,N3,0.8221530743034747,0.913031069555549,0.032103064212186214,-2.746577873009005,10.49037786082272,1.6130983325161834,0.6794151355967869,0.06381940780103357,-0.5504188081021201,0.16760055352274295
apples-140073,R,1.881728330403331,0.7760310882647974,0.08626168710140693,0.04229014318642252,-1.1465771587940217,2.05107489093254,0.5129141511935736,0.09550007407998659,-0.28574551743447346,-0.30180274392256123
apples-140073,W,2.024168743602454,0.7402654950322229,0.09289459612832299,-0.008756380216616845,0.4620604077190902,2.2510807661163237,0.5105084813379844,0.12580562375769944,-0.5449494561582244,0.18061561606424847
apples-140074,N1,1.3615951617850999,0.7874518538549155,0.053441810661030265,-1.1516380299658961,0.962002835219455,1.536033053229016,0.5659798823190162,0.05890617195320174,0.11882782860787501,0.9706795541962339
apples-140074,N2,1.0417039537443145,0.8452821111059938,0.032899958270747584,-0.7339348344714801,2.168351708878843,1.6129296234920294,0.6805280859533053,0.06146212514151377,-0.5236316682320489,0.519176717908524
apples-140074,N3,0.8155822907727174,0.8777713742265597,0.0225898990989429,-0.12764684851035862,-0.08434015682255547,1.3402898369691063,0.7553477726843556,0.044920112686388486,-0.23019055273155326,-0.07604294803988987
apples-140074,R,1.577940744123836,0.6912833888402393,0.06359904649888193,0.7002696147430174,0.6638124808926507,1.4509511689168004,0.5458109988452067,0.05020600201720468,-0.09363472669405525,-0.26909744813254655
apples-140074,W,1.9819974594657856,0.7734073307862172,0.0932777392439854,-0.7645550370917951,0.5830404730924346,2.339661020676413,0.5003799584665436,0.1312984675010888,-0.10031128993818815,0.2714056385677601
apples-140075,N1,2.0034971901331553,0.7741101787409546,0.09370691206909978,-0.2032016981844507,0.4787055479513911,2.2287333972184635,0.5566278783375038,0.12466731356635136,-0.643378384945519,0.1375902424632418
apples-140075,N2,1.4939782072611392,0.8213240292835146,0.06120143592452774,-1.4924191938285862,3.8411748456785446,1.9878094030407736,0.6973875900909302,0.10603493065956761,-1.4585907406744676,2.967727853064642
apples-140075,R,1.9200606317808722,0.7344428939574789,0.08586612901980009,-0.30085470651490204,-0.20013500276088658,2.2111148994669025,0.4709858748873843,0.11345992675593003,-0.0552327641839121,-0.10768283189032735
apples-140075,W,1.9488689271011181,0.7923774393428703,0.09553671523979945,-1.0852344550436133,1.422449780822169,2.3672130038181862,0.4756852531428247,0.13975863890304902,-0.442799996123418,-0.3273301785528986
apples-150140,N1,2.0022329109642127,0.7772715225078151,0.09590524481021684,0.30947066881898133,-0.8070447685807589,1.8874299776750085,0.5531667947199613,0.08171336958690344,0.13130464866874839,0.034380888474583315
apples-150140,N2,1.9870275543927145,0.7807290689840162,0.0953879341971623,0.35890274820319307,-0.8472466209973915,1.8575667989595188,0.5964320117782987,0.07731939054545667,0.028100737085218548,0.29379203846404733
apples-150140,N3,0.6057974994002412,0.9071735024831318,0.016147007839386825,-1.2242415046718231,2.622094798985751,1.3756224363491536,0.7407960334986885,0.04989136959580974,-0.3378425056621106,-0.34144778079713545
apples-150140,R,1.7613879521512283,0.8268127236303484,0.08220645838920407,-0.7797523115369954,0.7012275663841523,1.9839054468205477,0.5914312201323564,0.09498086131312306,-0.595739817607469,2.0869163043376684
apples-150140,W,1.8121312258103053,0.8340837384084004,0.07485604655064314,-0.3416811374847709,0.5057095934256295,2.382963610483872,0.584592687430639,0.1739753311907673,-1.3524045352356717,1.734270603921236
apples-150141,N1,1.7413598419323881,0.8856647759505334,0.0827235337104503,-0.42545127680517936,-0.8117938947468462,2.2887721487981554,0.5206442691547168,0.13336300038230187,0.8168823507327142,0.9656175528334958
apples-150141,N2,1.3342952395017766,0.926237468830335,0.05692020144240854,-0.8902306010738477,0.5693896686462878,2.344867349306547,0.53813459393225,0.13064912622236144,0.3756036536686665,0.18264698495752585
apples-150141,N3,0.746032664741159,0.916689237156777,0.018707706930508005,0.38353726297800034,-0.6471174849685957,1.4877983800243153,0.565164298993291,0.06893627483266412,0.05721842021080666,-0.5933876085370478
apples-150141,R,1.8989503247621873,0.8641966310361482,0.09923668080509025,-0.5495177159395765,-0.7561759167865261,2.260020575186037,0.49372081615739266,0.13280858938092002,0.7719267830970622,0.24806176939033042
apples-150141,W,2.1860004844711343,0.781411773635246,0.11854183839579109,-0.2785807075110973,-0.17331419103182233,2.432938201863266,0.5049863881234411,0.15066204074159228,-0.32622760002792045,-0.4582847691714389
apples-150142,N1,1.6110675755216224,0.8140384769529312,0.06570696033019234,-1.1414102426078274,1.465196030449845,1.7783452902938326,0.5489598285702727,0.08683240757182761,-1.3464127047326853,2.8514929290201945
apples-150142,N2,1.1467859231491995,0.8747541982124737,0.04016950701226855,-1.6750344269172546,5.4412561967030335,1.8217306227717225,0.5874538323841435,0.0772443178230105,-0.6739184260994565,0.7842599065062128
apples-150142,N3,0.37677016128463414,0.870012187683369,0.017597311460042144,0.01954786591984949,-0.9682679453917431,1.2130075660043054,0.575489051376947,0.04297516382962847,0.7998521806405364,-0.21145881389518406
apples-150142,R,1.7672248798894885,0.7057600825571803,0.08355022910812297,0.648120169312579,-0.6480557513985903,1.7586154407023433,0.4904369164196574,0.07496104093976991,0.21590743789749384,1.722303050752532
apples-150142,W,2.106343700345903,0.7171243083488387,0.10452545526088483,-0.16526779602901095,-0.43911826123299713,2.4013905223679197,0.46232999849503137,0.13730250561482382,-0.39986573618591775,0.32498564348055536
apples-160215,N1,1.31935501128575,0.8580208874747347,0.053555191497825554,-1.2562547006774953,7.9506524152665214,1.9314062197190818,0.6725459423408882,0.09055577684774807,-1.1168280177218708,3.250719628400084
apples-160215,N2,1.2459169109537491,0.900595824359415,0.04589791993080166,-0.8247681270010015,4.9284154963786415,1.8308045668638657,0.7295418575329102,0.07951155009169034,-1.0962663424788748,3.8318873169302616
apples-160215,R,1.325934218983818,0.8156838943550968,0.04442165473290217,0.5281228157104361,-0.09729051251204357,1.6753197328804823,0.5873817321164816,0.06456944509787768,-0.0892827613959962,0.11236945085703454
apples-160215,W,1.9487546356315928,0.7621667090694613,0.09439343538269593,-0.6105438065678775,0.8329147617548318,2.202474994287779,0.5367619439075935,0.11463372969476429,-0.37916536449817023,0.168247542747618
apples-160217,N1,1.6561526084476497,0.7801440715765434,0.06686354480674639,-0.20100064358362782,-0.09498407558237787,2.0722435740964493,0.5103458912710278,0.11997214053771674,0.6180806683565364,-0.14227008284332054
apples-160217,N2,1.2795736974829348,0.8574927718577727,0.04712414231613632,-1.5415442206701622,4.5089097009683865,2.0978870864684227,0.5594380735803277,0.10520539061722324,0.42941273331244506,0.8178671514992724
apples-160217,R,1.8590962047851542,0.7172578650596168,0.07977783304128015,0.17569128649779292,-0.4980953746057599,1.7916141054244283,0.46063019967118324,0.07948747232545957,-0.7512282125447355,2.575080920024326
apples-160217,W,2.0335987805684703,0.6815412856640264,0.09569791754879328,0.14786210968005634,0.853756870876627,2.1374223465762747,0.474185601903018,0.11971421449726978,-0.4047369866700164,1.5423291420117975
apples-160219,N1,1.8049196866697061,0.7770057960773997,0.07823385437937273,0.10276169772239338,-1.1805298113940506,1.911883670594304,0.608169802902701,0.09256226895211887,-0.9314554374625386,1.5489235677751028
apples-160219,N2,1.1880425309001892,0.8837528996619617,0.047226164230087624,-2.020378181303364,4.927565750665788,1.7672567045893328,0.7171790124122843,0.07366132613414149,-0.9685564071857203,2.4398127042073696
apples-160219,N3,0.7458595426719531,0.9031253388591619,0.02133477987438576,-1.1886234376730371,1.8859364290968914,1.2749891464595746,0.7674958317960162,0.042526991567786034,-0.07320109832705884,-0.14594005798816312
apples-160219,R,1.6697988067652685,0.7465599587707824,0.07499859921926419,-0.7562414887741782,4.522168662777128,1.7188817331762376,0.6105143040049815,0.08504690245576142,-1.9740592809390536,5.884940055154704
